"","iso1","iso2","group","community"
"1",-28.59,7.61,"SMB","Daisy Lk."
"2",-28.44,7.96,"SMB","Daisy Lk."
"3",-27.78,8.53,"SMB","Daisy Lk."
"4",-27.8,8.53,"SMB","Daisy Lk."
"5",-29.06,8.12,"SMB","Daisy Lk."
"6",-28.22,8.12,"SMB","Daisy Lk."
"7",-28.02,8.28,"SMB","Daisy Lk."
"8",-28.57,8.32,"SMB","Daisy Lk."
"9",-28.08,8.7,"SMB","Daisy Lk."
"10",-28.21,7.94,"SMB","Daisy Lk."
"11",-27.45,8,"SMB","Daisy Lk."
"12",-27.69,7.92,"SMB","Baby Lk."
"13",-28.59,7.11,"SMB","Baby Lk."
"14",-27.45,7.47,"SMB","Baby Lk."
"15",-29.32,7.03,"SMB","Baby Lk."
"16",-29.47,6.98,"SMB","Baby Lk."
"17",-28.87,6.91,"SMB","Baby Lk."
"18",-28.31,6.11,"YPERCH","Baby Lk."
"19",-29.11,6.73,"YPERCH","Baby Lk."
"20",-28.88,6.24,"YPERCH","Baby Lk."
"21",-29.63,6.27,"YPERCH","Baby Lk."
"22",-29.64,6.32,"YPERCH","Baby Lk."
"23",-29.27,6.35,"YPERCH","Baby Lk."
"24",-28.93,6.54,"YPERCH","Baby Lk."
"25",-33.64,6.09,"YPERCH","Baby Lk."
"26",-28.94,6.67,"YPERCH","Baby Lk."
"27",-29.41,7.3,"YPERCH","Baby Lk."
"28",-27.88,6.88,"YPERCH","Baby Lk."
"29",-27.12,6.98,"SMB","Daisy Lk."
"30",-27.79,6.6,"SMB","Daisy Lk."
"31",-27.01,6.98,"SMB","Daisy Lk."
"32",-26.67,7.71,"SMB","Daisy Lk."
"33",-27.14,7.42,"SMB","Daisy Lk."
"34",-26.67,7.06,"SMB","Daisy Lk."
"35",-26.78,8,"SMB","Daisy Lk."
"36",-26.99,7.88,"SMB","Daisy Lk."
"37",-29.27,7.75,"SMB","Daisy Lk."
"38",-28.3,7.75,"SMB","Daisy Lk."
"39",-29.82,6.18,"YPERCH","Daisy Lk."
"40",-31.84,5.81,"YPERCH","Daisy Lk."
"41",-31.73,6.91,"YPERCH","Daisy Lk."
"42",-32.78,7,"YPERCH","Daisy Lk."
"43",-31.44,6.1,"YPERCH","Daisy Lk."
"44",-29.26,6.13,"YPERCH","Daisy Lk."
"45",-29.25,6.18,"YPERCH","Daisy Lk."
"46",-34.19,6.06,"YPERCH","Daisy Lk."
"47",-28.11,6.78,"YPERCH","Daisy Lk."
"48",-28.3,8.85,"YPERCH","Daisy Lk."
"49",-25.8,9.98,"YPERCH","Daisy Lk."
"50",-28.62,4.52,"YPERCH","Nelson Lk."
"51",-28.93,4.7,"YPERCH","Nelson Lk."
"52",-27.56,5.26,"YPERCH","Nelson Lk."
"53",-26.45,5.7,"YPERCH","Nelson Lk."
"54",-28.68,5.72,"YPERCH","Nelson Lk."
"55",-27.56,6.19,"YPERCH","Nelson Lk."
"56",-27.57,6.15,"YPERCH","Nelson Lk."
"57",-26.8,6.71,"YPERCH","Nelson Lk."
"58",-22.21,5.1,"SMB","Nelson Lk."
"59",-21.55,5.44,"SMB","Nelson Lk."
"60",-23.93,5.9,"SMB","Nelson Lk."
"61",-26.81,6.21,"SMB","Nelson Lk."
"62",-27.39,6.37,"SMB","Nelson Lk."
"63",-26.84,6.3,"SMB","Nelson Lk."
"64",-26.72,7.24,"SMB","Nelson Lk."
"65",-28.31,7.36,"SMB","Nelson Lk."
"66",-27.05,7.04,"SMB","Nelson Lk."
"67",-25.38,7.33,"SMB","Nelson Lk."
"68",-24.76,7.7,"SMB","Nelson Lk."
"69",-27.24,7.18,"SMB","Nelson Lk."
"70",-25.62,7.43,"SMB","Nelson Lk."
"71",-25.67,10.04,"SMB","Tadenac Lk."
"72",-26.32,10.46,"SMB","Tadenac Lk."
"73",-26.33,10.29,"SMB","Tadenac Lk."
"74",-25.75,9.49,"SMB","Tadenac Lk."
"75",-25.78,8.26,"SMB","Tadenac Lk."
"76",-25.17,8.67,"SMB","Tadenac Lk."
"77",-25.68,9.53,"SMB","Tadenac Lk."
"78",-26.41,9.98,"SMB","Tadenac Lk."
"79",-25.1,9.47,"SMB","Tadenac Lk."
"80",-26.28,9.84,"SMB","Tadenac Lk."
"81",-25.55,10.35,"SMB","Tadenac Lk."
